,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Cute,Worm,Rock,Ghost,Dragon,Demon,Steel,Light,dFire,dGrass,dWater
Normal,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Neutral
Fire,Neutral,Neutral,Resist,Neutral,Counter,Counter,Neutral,Neutral,Neutral,Neutral,Neutral,Counter,Resist,Neutral,Resist,Neutral,Counter,Neutral,Neutral,Neutral,Resist
Water,Neutral,Counter,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Counter,Neutral,Neutral,Neutral,Counter,Neutral,Resist,Neutral,Neutral,Neutral,Neutral,Resist,Neutral
Electric,Neutral,Neutral,Counter,Resist,Resist,Neutral,Neutral,Neutral,Neutral,Counter,Neutral,Neutral,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Neutral,Resist,Neutral
Grass,Neutral,Resist,Counter,Neutral,Resist,Neutral,Neutral,Resist,Counter,Resist,Neutral,Resist,Counter,Neutral,Resist,Neutral,Resist,Neutral,Resist,Resist,Neutral
Ice,Neutral,Resist,Resist,Neutral,Counter,Resist,Neutral,Neutral,Counter,Counter,Neutral,Neutral,Neutral,Neutral,Counter,Neutral,Resist,Neutral,Resist,Neutral,Resist
Fighting,Counter,Neutral,Neutral,Neutral,Neutral,Counter,Neutral,Resist,Neutral,Resist,Resist,Resist,Counter,Neutral,Neutral,Counter,Counter,Neutral,Neutral,Neutral,Neutral
Poison,Neutral,Neutral,Neutral,Neutral,Counter,Neutral,Neutral,Resist,Resist,Neutral,Neutral,Neutral,Resist,Resist,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Ground,Neutral,Counter,Neutral,Counter,Resist,Neutral,Neutral,Counter,Neutral,Neutral,Neutral,Resist,Counter,Neutral,Neutral,Neutral,Counter,Neutral,Neutral,Resist,Neutral
Flying,Neutral,Neutral,Neutral,Resist,Counter,Neutral,Counter,Neutral,Neutral,Neutral,Neutral,Counter,Resist,Neutral,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Neutral
Cute,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Counter,Counter,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Neutral
Worm,Neutral,Resist,Neutral,Neutral,Counter,Neutral,Resist,Resist,Neutral,Resist,Counter,Neutral,Neutral,Resist,Neutral,Counter,Resist,Neutral,Resist,Neutral,Neutral
Rock,Neutral,Counter,Neutral,Neutral,Neutral,Counter,Resist,Neutral,Resist,Counter,Neutral,Counter,Neutral,Neutral,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Neutral
Ghost,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Counter,Neutral,Neutral,Counter,Neutral,Resist,Resist,Neutral,Neutral,Neutral,Neutral
Dragon,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Counter,Neutral,Resist,Neutral,Neutral,Neutral,Neutral
Demon,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Resist,Neutral,Neutral,Neutral,Counter,Neutral,Neutral,Counter,Neutral,Resist,Resist,Neutral,Neutral,Neutral,Neutral
Steel,Neutral,Resist,Resist,Resist,Neutral,Counter,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Counter,Neutral,Neutral,Neutral,Resist,Neutral,Resist,Neutral,Resist
Light,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
dFire,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Neutral,Counter,Resist
dGrass,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Resist,Neutral,Counter
dWater,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Resist,Neutral
,,,,,,,,,,,,,,,,,,,,,
